[2015-03-27 16:39:57,902] [django.db.backends] [6484 140220296746752] [DEBUG] (0.000) SELECT `user_secretuser`.`id`, `user_secretuser`.`SessionId`, `user_secretuser`.`CreatedTime`, `user_secretuser`.`RegistrationId`, `user_secretuser`.`ClientAppId`, `user_secretuser`.`ClientDevice`, `user_secretuser`.`ClientIP`, `user_secretuser`.`Lat`, `user_secretuser`.`Lng` FROM `user_secretuser` WHERE `user_secretuser`.`SessionId` = 'a420b828b6fef2b9b02ff3ed0f623521' ; args=('a420b828b6fef2b9b02ff3ed0f623521',)
[2015-03-27 16:39:57,904] [django.db.backends] [6484 140220296746752] [DEBUG] (0.001) SELECT `question_secretquestion`.`id`, `question_secretquestion`.`QuestionId`, `question_secretquestion`.`Message`, `question_secretquestion`.`LikeList`, `question_secretquestion`.`LikeCount`, `question_secretquestion`.`ReportList`, `question_secretquestion`.`ReportReason`, `question_secretquestion`.`SentTime`, `question_secretquestion`.`Lat`, `question_secretquestion`.`Lng`, `question_secretquestion`.`SecUser_id` FROM `question_secretquestion` ORDER BY `question_secretquestion`.`id` DESC LIMIT 1; args=()
[2015-03-27 16:39:57,906] [django.db.backends] [6484 140220296746752] [DEBUG] (0.000) SELECT (1) AS `a` FROM `question_secretquestion` WHERE (`question_secretquestion`.`id` < 5  AND NOT (`question_secretquestion`.`ReportList` LIKE '%a420b828b6fef2b9b02ff3ed0f623521%' )) LIMIT 1; args=(5, u'%a420b828b6fef2b9b02ff3ed0f623521%')
[2015-03-27 16:39:57,908] [django.db.backends] [6484 140220296746752] [DEBUG] (0.001) SELECT `question_secretquestion`.`id`, `question_secretquestion`.`QuestionId`, `question_secretquestion`.`Message`, `question_secretquestion`.`LikeList`, `question_secretquestion`.`LikeCount`, `question_secretquestion`.`ReportList`, `question_secretquestion`.`ReportReason`, `question_secretquestion`.`SentTime`, `question_secretquestion`.`Lat`, `question_secretquestion`.`Lng`, `question_secretquestion`.`SecUser_id` FROM `question_secretquestion` WHERE (`question_secretquestion`.`id` < 5  AND NOT (`question_secretquestion`.`ReportList` LIKE '%a420b828b6fef2b9b02ff3ed0f623521%' )) ORDER BY `question_secretquestion`.`SentTime` DESC, `question_secretquestion`.`id` DESC; args=(5, u'%a420b828b6fef2b9b02ff3ed0f623521%')
[2015-03-27 16:39:57,924] [django.db.backends] [6484 140220296746752] [DEBUG] (0.000) SELECT `user_secretuser`.`id`, `user_secretuser`.`SessionId`, `user_secretuser`.`CreatedTime`, `user_secretuser`.`RegistrationId`, `user_secretuser`.`ClientAppId`, `user_secretuser`.`ClientDevice`, `user_secretuser`.`ClientIP`, `user_secretuser`.`Lat`, `user_secretuser`.`Lng` FROM `user_secretuser` WHERE `user_secretuser`.`id` = 2 ; args=(2,)
[2015-03-27 16:39:57,926] [django.db.backends] [6484 140220296746752] [DEBUG] (0.000) SELECT COUNT(*) FROM `answer_secretanswer` WHERE `answer_secretanswer`.`SecQuestion_id` = 4 ; args=(4,)
[2015-03-27 16:39:57,931] [django.db.backends] [6484 140220296746752] [DEBUG] (0.004) SELECT COUNT(*) FROM `answer_secretanswer` WHERE `answer_secretanswer`.`SecQuestion_id` = 4 ; args=(4,)
[2015-03-27 16:39:57,933] [django.db.backends] [6484 140220296746752] [DEBUG] (0.001) SELECT `user_secretuser`.`id`, `user_secretuser`.`SessionId`, `user_secretuser`.`CreatedTime`, `user_secretuser`.`RegistrationId`, `user_secretuser`.`ClientAppId`, `user_secretuser`.`ClientDevice`, `user_secretuser`.`ClientIP`, `user_secretuser`.`Lat`, `user_secretuser`.`Lng` FROM `user_secretuser` WHERE `user_secretuser`.`id` = 1 ; args=(1,)
[2015-03-27 16:39:57,939] [django.db.backends] [6484 140220296746752] [DEBUG] (0.004) SELECT COUNT(*) FROM `answer_secretanswer` WHERE `answer_secretanswer`.`SecQuestion_id` = 3 ; args=(3,)
[2015-03-27 16:39:57,942] [django.db.backends] [6484 140220296746752] [DEBUG] (0.000) SELECT COUNT(*) FROM `answer_secretanswer` WHERE `answer_secretanswer`.`SecQuestion_id` = 3 ; args=(3,)
[2015-03-27 16:39:57,947] [django.db.backends] [6484 140220296746752] [DEBUG] (0.003) SELECT `user_secretuser`.`id`, `user_secretuser`.`SessionId`, `user_secretuser`.`CreatedTime`, `user_secretuser`.`RegistrationId`, `user_secretuser`.`ClientAppId`, `user_secretuser`.`ClientDevice`, `user_secretuser`.`ClientIP`, `user_secretuser`.`Lat`, `user_secretuser`.`Lng` FROM `user_secretuser` WHERE `user_secretuser`.`id` = 1 ; args=(1,)
